name,country,entity_type,iso,region,state,raw_commitment,ghg_reduction_target_type,percent_reduction,target_year,baseline_year,data_source
"Aspen, CO",United States of America,City,USA,North America, CO,100% renewable utility by 2015 – achieved,Renewable Energy,,,,ClimateMayors
"Atlanta, GA",United States of America,City,USA,North America, GA,"20% by 2020, 40% by 2030, and 100% by 2035, below 2009 GHG baseline",GHG emission reduction target:Community,20,2020,2009,ClimateMayors
"Atlanta, GA",United States of America,City,USA,North America, GA,"20% by 2020, 40% by 2030, and 100% by 2035, below 2009 GHG baseline",GHG emission reduction target:Community,40,2030,2009,ClimateMayors
"Atlanta, GA",United States of America,City,USA,North America, GA,"20% by 2020, 40% by 2030, and 100% by 2035, below 2009 GHG baseline",GHG emission reduction target:Community,100,2035,2009,ClimateMayors
"Austin, TX",United States of America,City,USA,North America, TX,Net zero community-wide greenhouse gas emissions by 2050.,GHG emission reduction target:Community,,2050,,ClimateMayors
"Austin, TX",United States of America,City,USA,North America, TX,Municipal operations powered by 100% renewable energy by 2012 and all operations carbon neutral 2020. ,Renewable Energy,,2012,,ClimateMayors
"Austin, TX",United States of America,City,USA,North America, TX,Municipal operations powered by 100% renewable energy by 2012 and all operations carbon neutral 2020. ,GHG emission reduction target:Local Government,100,2020,,ClimateMayors
"Austin, TX",United States of America,City,USA,North America, TX,"Austin Energy: 55% renewable energy delivered to customers by 2015. This includes goals of 1000 MW of demand side management, over 1500MW of wind,  600MW of solar, energy storage, and all coal ownership retirement. ",Renewable Energy, ,2015,,ClimateMayors
"Berkeley, CA",United States of America,City,USA,North America, CA,Community-wide GHG reductions of 80% below 2000 levels by 2050; this translates to 33% below 2000 levels by 2020. ,GHG emission reduction target:Community,33,2020,2000,ClimateMayors
"Berkeley, CA",United States of America,City,USA,North America, CA,Community-wide GHG reductions of 80% below 2000 levels by 2050; this translates to 33% below 2000 levels by 2020. ,GHG emission reduction target:Community,80,2050,2000,ClimateMayors
"Berkeley, CA",United States of America,City,USA,North America, CA,Zero waste by 2020.,Waste Reduction,100,2020,,ClimateMayors
"Boston, MA",United States of America,City,USA,North America, MA,"25% reduction in greenhouse gas emissions by 2020, below 2005 level, and carbon neutral by 2050 ",GHG emission reduction target:Community,25,2020,2005,ClimateMayors
"Boston, MA",United States of America,City,USA,North America, MA,"25% reduction in greenhouse gas emissions by 2020, below 2005 level, and carbon neutral by 2050 ",GHG emission reduction target:Community,100,2050,2005,ClimateMayors
"Boulder, CO",United States of America,City,USA,North America, CO,"80% reduction in community-wide GHG emissions by 2050, below 2005 baseline",GHG emission reduction target:Community,80,2050,2005,ClimateMayors
"Boulder, CO",United States of America,City,USA,North America, CO,"100% clean, renewable electricity by 2030",Renewable Energy,100,2030,,ClimateMayors
"Boulder, CO",United States of America,City,USA,North America, CO,"80% reduction in city operation GHG emissions by 2030, below 2008 baseline",GHG emission reduction target:Local Government,80,2030,2008,ClimateMayors
"Boulder, CO",United States of America,City,USA,North America, CO,Member of the 22 city member Carbon Neutral Cities Alliance (CNCA),,,,,ClimateMayors
"Burlingame, CA",United States of America,City,USA,North America, CA,"15% reduction in greenhouse gas emissions by 2020, below 2005 level",GHG emission reduction target:Community,15,2020,2005,ClimateMayors
"Burlingame, CA",United States of America,City,USA,North America, CA,80% reduction by 2050,GHG emission reduction target:Community,80,2050,,ClimateMayors
"Burlington, VT",United States of America,City,USA,North America, VT,Leveling off the growth of emissions by 2016 down to 2010 levels;,GHG emission reduction target:Community,,2016,2010,ClimateMayors
"Burlington, VT",United States of America,City,USA,North America, VT,Reduction in 2010 levels by 2025.,GHG emission reduction target:Community,,2025,2010,ClimateMayors
"Chicago, IL",United States of America,City,USA,North America, IL,"Reduce GHG emissions 25% below 1990 levels by 2020, and 80% below 1990 levels by 2050. ",GHG emission reduction target:Community,25,2020,1990,ClimateMayors
"Chicago, IL",United States of America,City,USA,North America, IL,"Reduce GHG emissions 25% below 1990 levels by 2020, and 80% below 1990 levels by 2050. ",GHG emission reduction target:Community,80,2050,1990,ClimateMayors
"Cleveland, OH",United States of America,City,USA,North America, OH,"City operations: Reduce GHG emissions 10% below 2010 levels by 2016, 20% by 2020, and 45% by 2030. ",GHG emission reduction target:Local Government,10,2016,2010,ClimateMayors
"Cleveland, OH",United States of America,City,USA,North America, OH,"City operations: Reduce GHG emissions 10% below 2010 levels by 2016, 20% by 2020, and 45% by 2030. ",GHG emission reduction target:Local Government,20,2020,2010,ClimateMayors
"Cleveland, OH",United States of America,City,USA,North America, OH,"City operations: Reduce GHG emissions 10% below 2010 levels by 2016, 20% by 2020, and 45% by 2030. ",GHG emission reduction target:Local Government,45,2030,2010,ClimateMayors
"Cleveland, OH",United States of America,City,USA,North America, OH,"Citywide: Reduce GHG emissions 16% below 2010 levels by 2020, 40% by 2030, and 80% by 2050. ",GHG emission reduction target:Community,16,2020,2010,ClimateMayors
"Cleveland, OH",United States of America,City,USA,North America, OH,"Citywide: Reduce GHG emissions 16% below 2010 levels by 2020, 40% by 2030, and 80% by 2050. ",GHG emission reduction target:Community,40,2030,2010,ClimateMayors
"Cleveland, OH",United States of America,City,USA,North America, OH,"Citywide: Reduce GHG emissions 16% below 2010 levels by 2020, 40% by 2030, and 80% by 2050. ",GHG emission reduction target:Community,80,2050,2010,ClimateMayors
"Columbus, OH",United States of America,City,USA,North America, OH,"Reduce GHG emissions 30 percent by 2020, 40 percent by 2030 (city operations- 2005 baseline) and 20 percent by 2020 (community-wide- 2013  baseline). ",GHG emission reduction target:Local Government,30,2020,2005,ClimateMayors
"Columbus, OH",United States of America,City,USA,North America, OH,"Reduce GHG emissions 30 percent by 2020, 40 percent by 2030 (city operations- 2005 baseline) and 20 percent by 2020 (community-wide- 2013  baseline). ",GHG emission reduction target:Local Government,40,2030,2005,ClimateMayors
"Columbus, OH",United States of America,City,USA,North America, OH,"Reduce GHG emissions 30 percent by 2020, 40 percent by 2030 (city operations- 2005 baseline) and 20 percent by 2020 (community-wide- 2013  baseline). ",GHG emission reduction target:Community,20,2020,2013,ClimateMayors
"Columbus, OH",United States of America,City,USA,North America, OH,Develop a climate preparedness plan by 2017.,,,2017,,ClimateMayors
"Dallas, TX",United States of America,City,USA,North America, TX,Dallas has set a goal to Reduce City operational emissions to 39% below 1990 levels by 2017. ,GHG emission reduction target:Local Government,39,2017,1990,ClimateMayors
"Denver, CO",United States of America,City,USA,North America, CO,Denver has set a goal to return to 1990 emissions levels by 2020. As of 2015 Denver was on target to meet this goal. ,GHG emission reduction target:Community,,2020,1990,ClimateMayors
"Denver, CO",United States of America,City,USA,North America, CO,"Denver has set a goal for citywide energy use in 2020 to be no greater than it was in 2012, despite population increases of over two percent annually, while  reducing the fossil fuel content of that energy by 50%. ",GHG emission reduction target:Community,,2020,2012,ClimateMayors
"Denver, CO",United States of America,City,USA,North America, CO,"Denver has set a goal for citywide energy use in 2020 to be no greater than it was in 2012, despite population increases of over two percent annually, while reducing the fossil fuel content of that energy by 50%. ",Renewable Energy,50,2020,,ClimateMayors
"Denver, CO",United States of America,City,USA,North America, CO,Denver has set an 80 x 50 goal and is currently developing strategies to hit that target. ,,,,,ClimateMayors
"Dubuque, IA",United States of America,City,USA,North America, IA,The 50% by 2030 Community Climate Action Plan commits to community-wide reduction of GHGs 50% below 2003 by 2030. ,GHG emission reduction target:Community,50,2030,2003,ClimateMayors
"Durham and Durham County, NC2",United States of America,City,USA,North America, NC2,50% below 2006 GHG levels by 2030,GHG emission reduction target:Local Government,50,2030,2006,ClimateMayors
"Durham and Durham County, NC2",United States of America,City,USA,North America, NC2,30% reduction from BAS from the community 2006 levels by 2030,Energy Savings,30,2030,2006,ClimateMayors
"Edina, MN",United States of America,City,USA,North America, MN,"30% Greenhouse Gas (GHG) reduction by 2025, 80% reduction by 2050",GHG emission reduction target:Community,30,2025,,ClimateMayors
"Edina, MN",United States of America,City,USA,North America, MN,"30% Greenhouse Gas (GHG) reduction by 2025, 80% reduction by 2050",GHG emission reduction target:Community,80,2050,,ClimateMayors
"Edina, MN",United States of America,City,USA,North America, MN,"Within the next 18 months, lower the City’s electricity GHG emissions by 7.5%.",GHG emission reduction target:Community,7.5,,,ClimateMayors
"Edina, MN",United States of America,City,USA,North America, MN,750 homes take energy savings actions each year,Energy Savings,,,,ClimateMayors
"Edina, MN",United States of America,City,USA,North America, MN,"Double the number of subscribers to the utility’s renewable energy program, Windsource, and double the average subscription amount. ",Renewable Energy,,,,ClimateMayors
"Edina, MN",United States of America,City,USA,North America, MN,Businesses reduce and/or offset 2% of electricity usage annually,Energy Savings,2,,,ClimateMayors
"Eugene, OR",United States of America,City,USA,North America, OR,Climate Recovery Ordinance (2016): Carbon neutral city operations (scope 1 and 2) by 2020.,GHG emission reduction target:Local Government,100,2020,,ClimateMayors
"Eugene, OR",United States of America,City,USA,North America, OR,Climate Recovery Ordinance (2016): Community wide and city operational use of fossil fuels cut by 50% from 2010 levels by 2030. ,Energy Savings,50,2030,2010,ClimateMayors
"Eugene, OR",United States of America,City,USA,North America, OR,"Climate Recovery Ordinance (2016): Reach a GHG emissions level consistent with 350ppm by 2100, resulting in a 7% annual reduction starting in 2017. ",GHG emission reduction target:Community,,2100,,ClimateMayors
"Fayetteville, AR",United States of America,City,USA,North America, AR,"We are in the process of developing energy efficiency, renewable energy and greenhouse gas reduction targets as part of an Energy Action Plan development. ",Renewable Energy,,,,ClimateMayors
"Fayetteville, AR",United States of America,City,USA,North America, AR,40% waste diversion goal by 2027,Waste Reduction,40,2027,,ClimateMayors
"Fort Bragg, CA",United States of America,City,USA,North America, CA,The City of Fort Bragg’s 2012 Draft Climate Action Plan establishes a greenhouse gas emission reduction goal of 15% for the community and 30% for local government by 2020. ,GHG emission reduction target:Community,15,2020,,ClimateMayors
"Fort Bragg, CA",United States of America,City,USA,North America, CA,The City of Fort Bragg’s 2012 Draft Climate Action Plan establishes a greenhouse gas emission reduction goal of 15% for the community and 30% for local government by 2020. ,GHG emission reduction target:Local Government,30,2020,,ClimateMayors
"Fort Bragg, CA",United States of America,City,USA,North America, CA,The City’s sustainability goals include compliance with California Building Code Zero Net Energy by 2020. ,Energy Savings,,2020,,ClimateMayors
"Fort Collins, CO",United States of America,City,USA,North America, CO,The 2015 Fort Collins Climate Action Plan Framework established greenhouse gas emissions reduction goals of 20% below 2005 levels by 2020; 80% below 2005 levels by 2030 ,GHG emission reduction target:Community,20,2020,2005,ClimateMayors
"Fort Collins, CO",United States of America,City,USA,North America, CO,The 2015 Fort Collins Climate Action Plan Framework established greenhouse gas emissions reduction goals of 20% below 2005 levels by 2020; 80% below 2005 levels by 2030 ,GHG emission reduction target:Community,80,2030,2005,ClimateMayors
"Fort Collins, CO",United States of America,City,USA,North America, CO,Carbon neutral by 2050.,GHG emission reduction target:Community,100,2050,,ClimateMayors
"Hoboken, NJ",United States of America,City,USA,North America, NJ,2022: Become a Net Zero Energy City by consuming energy from alternative and renewable energy sources. ,renewable Energy,,2022,,ClimateMayors
"Hoboken, NJ",United States of America,City,USA,North America, NJ,2027: Exceed carbon reduction goals established by the Paris Climate Agreement to achieve carbon neutrality. ,GHG emission reduction target:Community,100,2027,,ClimateMayors
"Houston, TX",United States of America,City,USA,North America, TX,80% reduction by 2050 (2007 baseline),GHG emission reduction target:Community,80,2050,2007,ClimateMayors
"Kansas City, MO",United States of America,City,USA,North America, MO,"30% reduction in greenhouse gas emissions from 2000 levels by 2020, in municipal operations and citywide ",GHG emission reduction target:Local Government,30,2020,2000,ClimateMayors
"Kansas City, MO",United States of America,City,USA,North America, MO,"30% reduction in greenhouse gas emissions from 2000 levels by 2020, in municipal operations and citywide ",GHG emission reduction target:Community,30,2020,2000,ClimateMayors
"Kansas City, MO",United States of America,City,USA,North America, MO,80% reduction in greenhouse gas emissions from 2000 levels by 2050,GHG emission reduction target:Community,80,2050,2000,ClimateMayors
"Kansas City, MO",United States of America,City,USA,North America, MO,"As of the end of 2013, have reduced greenhouse gas emissions 25% in municipal operations and 4% citywide since 2000 ",GHG emission reduction target:Local Government,25,2013,2000,ClimateMayors
"Kansas City, MO",United States of America,City,USA,North America, MO,"As of the end of 2013, have reduced greenhouse gas emissions 25% in municipal operations and 4% citywide since 2000 ",GHG emission reduction target:Community,4,2013,2000,ClimateMayors
"Knoxville, TN",United States of America,City,USA,North America, TN,"Reduce greenhouse gas emissions 20% by 2020 (city-wide, 2005 baseline)",GHG emission reduction target:Community,20,2020,2005,ClimateMayors
"Knoxville, TN",United States of America,City,USA,North America, TN,"Reduce greenhouse gas emissions 20% by 2020 (municipal-operations, 2005 baseline) ",GHG emission reduction target:Local Government,20,2020,2005,ClimateMayors
"Knoxville, TN",United States of America,City,USA,North America, TN,"By 2020, reduce the energy use intensity of 2 million+ square feet of municipal building space by 20% (2010 baseline). ",GHG emission reduction target:Local Government,20,2020,2010,ClimateMayors
"Lakewood, CO",United States of America,City,USA,North America, CO,Reduce community-wide greenhouse gas emissions by 20% below 2017 levels by 2025. ,GHG emission reduction target:Community,20,2025,2017,ClimateMayors
"Lakewood, CO",United States of America,City,USA,North America, CO,Reduce community-wide greenhouse gas emissions by 20% below 2017 levels by 2050. ,GHG emission reduction target:Community,20,2050,2017,ClimateMayors
"Lakewood, CO",United States of America,City,USA,North America, CO,"Generate 45% of municipal, residential, and commercial energy from renewable sources by 2025. ",GHG emission reduction target:Local Government,,2025,,ClimateMayors
"Long Beach, CA",United States of America,City,USA,North America, CA,15% GHG emissions reduction in municipal operations by 2020.,GHG emission reduction target:Local Government,15,2020,,ClimateMayors
"Long Beach, CA",United States of America,City,USA,North America, CA,Community-wide goals currently being developed during Climate Action and Adaptation Planning Process. ,,,,,ClimateMayors
"Los Angeles, CA",United States of America,City,USA,North America, CA,"Los Angeles is committed to a 45% reduction in greenhouse gases by 2025, 60% by 2030, and 80% by 2050 (1990 baseline) ",GHG emission reduction target:Community,45,2025,1990,ClimateMayors
"Los Angeles, CA",United States of America,City,USA,North America, CA,"Los Angeles is committed to a 45% reduction in greenhouse gases by 2025, 60% by 2030, and 80% by 2050 (1990 baseline) ",GHG emission reduction target:Community,60,2030,1990,ClimateMayors
"Los Angeles, CA",United States of America,City,USA,North America, CA,"Los Angeles is committed to a 45% reduction in greenhouse gases by 2025, 60% by 2030, and 80% by 2050 (1990 baseline) ",GHG emission reduction target:Community,80,2050,1990,ClimateMayors
"Medford, MA",United States of America,City,USA,North America, MA,"Carbon neutrality region wide, as part of Boston Metro Mayors, by 2050.",GHG emission reduction target:Community,100,2050,,ClimateMayors
"Medford, MA",United States of America,City,USA,North America, MA,"Massachusetts Green Community, 20% municipal energy use reduction of 2009 levels by 2018 ",GHG emission reduction target:Local Government,20,2018,2009,ClimateMayors
"Milwaukee, WI",United States of America,City,USA,North America, WI,20% energy reduction in municipal buildings by 2020,GHG emission reduction target:Local Government,20,2020,,ClimateMayors
"Milwaukee, WI",United States of America,City,USA,North America, WI,25% renewable energy in municipal buildings by 2025,GHG emission reduction target:Local Government,25,2025,,ClimateMayors
"Montpelier, VT",United States of America,City,USA,North America, VT,Net Zero by 2030,GHG emission reduction target:Community,,2030,,ClimateMayors
"New Orleans, LA",United States of America,City,USA,North America, LA,New Orleans has taken inventory of our greenhouse gas pollution and is finalizing a 2030 community target reduction for our climate action strategy to be  launched in 2017 ,GHG emission reduction target:Community,,2030,,ClimateMayors
"New York City, NY",United States of America,City,USA,North America, NY,"80% by 2050 on 2005 baseline, with a 40% reduction by 2030 on 1990 baseline.",GHG emission reduction target:Community,40,2030,1990,ClimateMayors
"New York City, NY",United States of America,City,USA,North America, NY,"80% by 2050 on 2005 baseline, with a 40% reduction by 2030 on 1990 baseline.",GHG emission reduction target:Community,80,2050,2005,ClimateMayors
"New York City, NY",United States of America,City,USA,North America, NY,"From buildings, the City is targeting a 30% reduction by 2025; all City government buildings to be retrofitted for energy efficiency by 2025. ",GHG emission reduction target:Local Government,30,2025,,ClimateMayors
"New York City, NY",United States of America,City,USA,North America, NY,"From buildings, the City is targeting a 30% reduction by 2025; all City government buildings to be retrofitted for energy efficiency by 2025. ",Energy Savings,,2025,,ClimateMayors
"Oakland, CA",United States of America,City,USA,North America, CA,"36% by 2020, 83% by 2050 (2005 baseline).",GHG emission reduction target:Community,36,2020,2005,ClimateMayors
"Oakland, CA",United States of America,City,USA,North America, CA,"36% by 2020, 83% by 2050 (2005 baseline).",GHG emission reduction target:Community,83,2050,2005,ClimateMayors
"Orlando, FL",United States of America,City,USA,North America, FL,Reduce GHG emissions 90% by 2040 (city-wide),GHG emission reduction target:Community,90,2040,,ClimateMayors
"Orlando, FL",United States of America,City,USA,North America, FL,Achieve 100% renewable energy by 2030 (municipal operations),GHG emission reduction target:Local Government,100,2030,,ClimateMayors
"Orlando, FL",United States of America,City,USA,North America, FL,Achieve 50% renewable energy by 2040 (city-wide),GHG emission reduction target:Community,50,2040,,ClimateMayors
"Orlando, FL",United States of America,City,USA,North America, FL,Achieve 100% renewable energy by 2050 (city-wide),GHG emission reduction target:Community,100,2050,,ClimateMayors
"Orlando, FL",United States of America,City,USA,North America, FL,Achieve 100% fleet vehicles using alternative fuels and electric by 2030 (municipal operations) ,GHG emission reduction target:Local Government,100,2030,,ClimateMayors
"Palo Alto, CA",United States of America,City,USA,North America, CA,2030: Reduce GHGs 80% below 1990 GHG baseline by 2030,GHG emission reduction target:Community,80,2030,1990,ClimateMayors
"Palo Alto, CA",United States of America,City,USA,North America, CA,2021: Zero waste by 2021,Waste Reduction,,2021,,ClimateMayors
"Park City, UT",United States of America,City,USA,North America, UT,"Net-zero carbon and running on 100% renewable electricity by 2022 for municipal operations, and 2032 community-wide ",Renewable Energy,100,2022,,ClimateMayors
"Park City, UT",United States of America,City,USA,North America, UT,"Net-zero carbon and running on 100% renewable electricity by 2022 for municipal operations, and 2032 community-wide ",Renewable Energy,100,2032,,ClimateMayors
"Philadelphia, PA",United States of America,City,USA,North America, PA,Reduce municipal GHG emissions by 20% by 2015 (1990 baseline),GHG emission reduction target:Local Government,20,2015,1990,ClimateMayors
"Philadelphia, PA",United States of America,City,USA,North America, PA,Reduce citywide GHG emissions by 20% by 2015 (1990 baseline),GHG emission reduction target:Community,20,2015,1990,ClimateMayors
"Philadelphia, PA",United States of America,City,USA,North America, PA,Reduce citywide GHG emissions by 80% by 2050 (2003 baseline),GHG emission reduction target:Community,80,2050,2003,ClimateMayors
"Phoenix, AZ",United States of America,City,USA,North America, AZ,Reduce GHG emissions by 80% by 2050 (2005 baseline).,GHG emission reduction target:Community,80,2050,2005,ClimateMayors
"Phoenix, AZ",United States of America,City,USA,North America, AZ,Reduce GHG emissions for city operations by 15% by 2015 (2009 baseline).,GHG emission reduction target:Local Government,15,2015,2009,ClimateMayors
"Phoenix, AZ",United States of America,City,USA,North America, AZ,Reduce GHG emissions for city-owned buildings by 20% by 2020 (2009 baseline). ,GHG emission reduction target:Local Government,20,2020,2009,ClimateMayors
"Phoenix, AZ",United States of America,City,USA,North America, AZ,Supply 15% of its energy use in city-owned building operations from renewable energy by 2025. ,GHG emission reduction target:Local Government,,2025,,ClimateMayors
"Portland, OR",United States of America,City,USA,North America, OR,80% reduction in greenhouse gas emissions from 1990 levels by 2050,GHG emission reduction target:Community,80,2050,1990,ClimateMayors
"Portland, OR",United States of America,City,USA,North America, OR,40% reduction in greenhouse gas emissions from 1990 levels by 2030,GHG emission reduction target:Community,40,2030,1990,ClimateMayors
"Providence, RI",United States of America,City,USA,North America, RI,Achieve carbon neutrality by 2050.,GHG emission reduction target:Community,100,2050,,ClimateMayors
"Providence, RI",United States of America,City,USA,North America, RI,Achieve a minimum of 30% energy use reduction by 2030 in all city-owned property. ,GHG emission reduction target:Local Government,30,2030,,ClimateMayors
"Providence, RI",United States of America,City,USA,North America, RI,Adopt a zero waste plan by 2033,Waste Reduction,,2033,,ClimateMayors
"Reno, NV",United States of America,City,USA,North America, NV,80% reduction in GHG emissions below 2008 levels by 2050.,GHG emission reduction target:Community,80,2050,2008,ClimateMayors
"Sacramento, CA",United States of America,City,USA,North America, CA,15% reduction in community-wide GHG emissions below 2005 levels and a 22% reduction in municipal GHG emissions by 2020. ,GHG emission reduction target:Community,15,2020,2005,ClimateMayors
"Sacramento, CA",United States of America,City,USA,North America, CA,15% reduction in community-wide GHG emissions below 2005 levels and a 22% reduction in municipal GHG emissions by 2020. ,GHG emission reduction target:Community,22,2020,2005,ClimateMayors
"Sacramento, CA",United States of America,City,USA,North America, CA,49% reduction in GHG emissions below 2005 by 2035.,GHG emission reduction target:Community,49,2035,2005,ClimateMayors
"Sacramento, CA",United States of America,City,USA,North America, CA,83% reduction in GHG emissions below 2005 levels by 2050.,GHG emission reduction target:Community,83,2050,2005,ClimateMayors
"Salt Lake City, UT",United States of America,City,USA,North America, UT,2032 target: 100% of Community electricity from renewable sources,Renewable Energy,,2032,,ClimateMayors
"Salt Lake City, UT",United States of America,City,USA,North America, UT,2020 target: 50% of Municipal electricity comes from renewable source,Renewable Energy,,2020,,ClimateMayors
"Salt Lake City, UT",United States of America,City,USA,North America, UT,2040 target: 80% reduction in Community greenhouse gas footprint (2009 baseline) ,GHG emission reduction target:Community,80,2040,2009,ClimateMayors
"Salt Lake City, UT",United States of America,City,USA,North America, UT,2030 target: 50% reduction in Community greenhouse gas footprint,GHG emission reduction target:Community,50,2030,,ClimateMayors
"San Francisco, CA",United States of America,City,USA,North America, CA,Greenhouse gas emission reduction targets: 25% reduction by 2017; 40% by 2025; 80% by 2050 (1990 baselines) ,GHG emission reduction target:Community,25,2017,1990,ClimateMayors
"San Francisco, CA",United States of America,City,USA,North America, CA,Greenhouse gas emission reduction targets: 25% reduction by 2017; 40% by 2025; 80% by 2050 (1990 baselines) ,GHG emission reduction target:Community,40,2025,1990,ClimateMayors
"San Francisco, CA",United States of America,City,USA,North America, CA,Greenhouse gas emission reduction targets: 25% reduction by 2017; 40% by 2025; 80% by 2050 (1990 baselines) ,GHG emission reduction target:Community,80,2050,1990,ClimateMayors
"San Francisco, CA",United States of America,City,USA,North America, CA,"San Francisco’s “0-50-100-Roots” Climate Action Strategy is a coordinated City effort to send zero waste to landfill without incineration by 2020, maintain 50% all  trips by sustainable modes by 2018, achieve 100% renewable energy by 2030,  and sequester carbon through urban forestry and compost application (Roots). ",Waste Reduction,100,2020,,ClimateMayors
"San Francisco, CA",United States of America,City,USA,North America, CA,"San Francisco’s “0-50-100-Roots” Climate Action Strategy is a coordinated City effort to send zero waste to landfill without incineration by 2020, maintain 50% all trips by sustainable modes by 2018, achieve 100% renewable energy by 2030,  and sequester carbon through urban forestry and compost application (Roots). ",,,2018,,ClimateMayors
"San Francisco, CA",United States of America,City,USA,North America, CA,"San Francisco’s “0-50-100-Roots” Climate Action Strategy is a coordinated City effort to send zero waste to landfill without incineration by 2020, maintain 50% all trips by sustainable modes by 2018, achieve 100% renewable energy by 2030,  and sequester carbon through urban forestry and compost application (Roots). ",Renewable Energy,,2030,,ClimateMayors
"San Jose, CA",United States of America,City,USA,North America, CA,"Create 25,000 Clean Tech Jobs as the World Center of Clean Innovation",,,2022,,ClimateMayors
"San Jose, CA",United States of America,City,USA,North America, CA,Reduce per capita energy use by 50%,Energy Savings,50,2022,,ClimateMayors
"San Jose, CA",United States of America,City,USA,North America, CA,"Receive 100% of our electrical power from clean, renewable sources",Renewable Energy,,2022,,ClimateMayors
"San Jose, CA",United States of America,City,USA,North America, CA,Build or retrofit 50 million sq. ft. of green buildings,Energy Savings,,2022,,ClimateMayors
"San Jose, CA",United States of America,City,USA,North America, CA,Divert 100% of waste from landfill and convert waste to energy,Waste Reduction,,2022,,ClimateMayors
"San Jose, CA",United States of America,City,USA,North America, CA,Recycle or beneficially reuse 100% of our wastewater,Waste Reduction,,2022,,ClimateMayors
"San Jose, CA",United States of America,City,USA,North America, CA,Adopt General Plan with measurable standards for sustainable development,,,2022,,ClimateMayors
"San Jose, CA",United States of America,City,USA,North America, CA,Ensure that 100% of public fleet vehicles run on alternative fuels,Energy Savings,,2022,,ClimateMayors
"San Jose, CA",United States of America,City,USA,North America, CA,"Plant 100,00 new tree and replace 100% of our streetlights with smart, zero emission lighting ",Energy Savings,,2022,,ClimateMayors
"San Jose, CA",United States of America,City,USA,North America, CA,Create 100 miles of trails connecting with 400 miles of on-street bikeways,Energy Savings,,2022,,ClimateMayors
"Santa Monica, CA",United States of America,City,USA,North America, CA,20% GHG emissions reduction below 1990 baseline levels by 2020,GHG emission reduction target:Community,20,2020,1990,ClimateMayors
"Santa Monica, CA",United States of America,City,USA,North America, CA,30% GHG emissions reduction below 1990 baseline levels by 2030,GHG emission reduction target:Community,30,2030,1990,ClimateMayors
"Santa Monica, CA",United States of America,City,USA,North America, CA,Carbon Neutral by 2050,GHG emission reduction target:Community,100,2050,,ClimateMayors
"Santa Monica, CA",United States of America,City,USA,North America, CA,Water-Self Sufficient by 2020,Energy Savings,,2020,,ClimateMayors
"Santa Monica, CA",United States of America,City,USA,North America, CA,Zero Waste by 2030,Waste Reduction,,2030,,ClimateMayors
"Sarasota, FL",United States of America,City,USA,North America, FL,35% greenhouse gas reduction by 2035 from 2003 baseline (comprehensive plan goal) ,GHG emission reduction target:Local Government,35,2035,2003,ClimateMayors
"Sarasota, FL",United States of America,City,USA,North America, FL,50% of municipal energy demand is provided by renewable energy sources by 2024 and 100% by 2035 ,GHG emission reduction target:Local Government,,2024,,ClimateMayors
"Sarasota, FL",United States of America,City,USA,North America, FL,50% of municipal energy demand is provided by renewable energy sources by 2024 and 100% by 2035 ,GHG emission reduction target:Local Government,,2035,,ClimateMayors
"Sarasota, FL",United States of America,City,USA,North America, FL,35% greenhouse gas reduction by 2035 from 2003 baseline (comprehensive plan goal) ,GHG emission reduction target:Community,35,2035,2003,ClimateMayors
